"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2018","36","36017","Chenango County (NY)","46,658","7,023","5,817","8,229","5,817 to 8,229","15.1","12.5","17.7","12.5 to 17.7","9,581","2,135","1,682","2,588","1,682 to 2,588","22.3","17.6","27.0","17.6 to 27.0","7,002","1,417","1,061","1,773","1,061 to 1,773","20.2","15.1","25.3","15.1 to 25.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,312","$46,472","$54,152","$46,472 to $54,152"
"2018","36","36019","Clinton County (NY)","73,955","9,779","7,991","11,567","7,991 to 11,567","13.2","10.8","15.6","10.8 to 15.6","14,142","2,389","1,834","2,944","1,834 to 2,944","16.9","13.0","20.8","13.0 to 20.8","10,226","1,646","1,238","2,054","1,238 to 2,054","16.1","12.1","20.1","12.1 to 20.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,517","$51,644","$59,390","$51,644 to $59,390"
"2018","36","36021","Columbia County (NY)","58,459","6,828","5,681","7,975","5,681 to 7,975","11.7","9.7","13.7","9.7 to 13.7","9,905","1,622","1,201","2,043","1,201 to 2,043","16.4","12.2","20.6","12.2 to 20.6","7,402","1,032","696","1,368","696 to 1,368","13.9","9.4","18.4","9.4 to 18.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$64,916","$61,889","$67,943","$61,889 to $67,943"
"2018","36","36023","Cortland County (NY)","43,943","7,426","6,275","8,577","6,275 to 8,577","16.9","14.3","19.5","14.3 to 19.5","8,996","1,657","1,248","2,066","1,248 to 2,066","18.4","13.9","22.9","13.9 to 22.9","6,470","1,030","720","1,340","720 to 1,340","15.9","11.1","20.7","11.1 to 20.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,751","$49,475","$54,027","$49,475 to $54,027"
"2018","36","36025","Delaware County (NY)","42,429","6,746","5,577","7,915","5,577 to 7,915","15.9","13.1","18.7","13.1 to 18.7","7,194","1,885","1,495","2,275","1,495 to 2,275","26.2","20.8","31.6","20.8 to 31.6","5,389","1,307","1,002","1,612","1,002 to 1,612","24.3","18.6","30.0","18.6 to 30.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,382","$44,095","$50,669","$44,095 to $50,669"
"2018","36","36027","Dutchess County (NY)","276,256","25,387","21,921","28,853","21,921 to 28,853","9.2","7.9","10.5","7.9 to 10.5","53,959","5,914","4,726","7,102","4,726 to 7,102","11.0","8.8","13.2","8.8 to 13.2","40,458","4,159","3,264","5,054","3,264 to 5,054","10.3","8.1","12.5","8.1 to 12.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$79,604","$76,624","$82,584","$76,624 to $82,584"
"2018","36","36029","Erie County (NY)","894,913","122,204","114,368","130,040","114,368 to 130,040","13.7","12.8","14.6","12.8 to 14.6","183,795","35,354","31,641","39,067","31,641 to 39,067","19.2","17.2","21.2","17.2 to 21.2","133,786","23,819","20,988","26,650","20,988 to 26,650","17.8","15.7","19.9","15.7 to 19.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,375","$55,346","$57,404","$55,346 to $57,404"
"2018","36","36031","Essex County (NY)","35,472","4,150","3,300","5,000","3,300 to 5,000","11.7","9.3","14.1","9.3 to 14.1","5,886","945","688","1,202","688 to 1,202","16.1","11.7","20.5","11.7 to 20.5","4,309","684","483","885","483 to 885","15.9","11.2","20.6","11.2 to 20.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,376","$51,385","$57,367","$51,385 to $57,367"
"2018","36","36033","Franklin County (NY)","44,460","7,404","6,026","8,782","6,026 to 8,782","16.7","13.6","19.8","13.6 to 19.8","9,536","2,104","1,604","2,604","1,604 to 2,604","22.1","16.9","27.3","16.9 to 27.3","7,102","1,420","1,030","1,810","1,030 to 1,810","20.0","14.5","25.5","14.5 to 25.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,722","$46,093","$51,351","$46,093 to $51,351"
"2018","36","36035","Fulton County (NY)","52,345","6,830","5,498","8,162","5,498 to 8,162","13.0","10.5","15.5","10.5 to 15.5","10,453","2,069","1,488","2,650","1,488 to 2,650","19.8","14.2","25.4","14.2 to 25.4","7,757","1,447","1,001","1,893","1,001 to 1,893","18.7","12.9","24.5","12.9 to 24.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,388","$47,724","$55,052","$47,724 to $55,052"
"2018","36","36037","Genesee County (NY)","55,632","5,494","4,500","6,488","4,500 to 6,488","9.9","8.1","11.7","8.1 to 11.7","11,488","1,618","1,228","2,008","1,228 to 2,008","14.1","10.7","17.5","10.7 to 17.5","8,481","1,045","744","1,346","744 to 1,346","12.3","8.7","15.9","8.7 to 15.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$58,925","$55,183","$62,667","$55,183 to $62,667"
"2018","36","36039","Greene County (NY)","44,436","5,789","4,737","6,841","4,737 to 6,841","13.0","10.6","15.4","10.6 to 15.4","7,547","1,349","962","1,736","962 to 1,736","17.9","12.8","23.0","12.8 to 23.0","5,566","935","632","1,238","632 to 1,238","16.8","11.4","22.2","11.4 to 22.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,514","$49,784","$59,244","$49,784 to $59,244"
"2018","36","36041","Hamilton County (NY)","4,423","404","304","504","304 to 504","9.1","6.8","11.4","6.8 to 11.4","563","87","62","112","62 to 112","15.5","11.1","19.9","11.1 to 19.9","451","59","40","78","40 to 78","13.1","9.0","17.2","9.0 to 17.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,020","$54,590","$63,450","$54,590 to $63,450"
"2018","36","36043","Herkimer County (NY)","60,456","8,176","6,451","9,901","6,451 to 9,901","13.5","10.6","16.4","10.6 to 16.4","12,512","2,516","1,868","3,164","1,868 to 3,164","20.1","14.9","25.3","14.9 to 25.3","9,349","1,727","1,237","2,217","1,237 to 2,217","18.5","13.3","23.7","13.3 to 23.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,168","$49,165","$57,171","$49,165 to $57,171"
"2018","36","36045","Jefferson County (NY)","105,523","12,996","10,869","15,123","10,869 to 15,123","12.3","10.3","14.3","10.3 to 14.3","26,257","4,202","3,167","5,237","3,167 to 5,237","16.0","12.1","19.9","12.1 to 19.9","17,557","2,643","1,856","3,430","1,856 to 3,430","15.1","10.6","19.6","10.6 to 19.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,798","$50,213","$55,383","$50,213 to $55,383"
"2018","36","36047","Kings County (NY)","2,557,290","483,632","461,981","505,283","461,981 to 505,283","18.9","18.1","19.7","18.1 to 19.7","580,396","150,672","139,265","162,079","139,265 to 162,079","26.0","24.0","28.0","24.0 to 28.0","395,532","102,497","94,266","110,728","94,266 to 110,728","25.9","23.8","28.0","23.8 to 28.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,862","$60,018","$61,706","$60,018 to $61,706"
"2018","36","36049","Lewis County (NY)","26,111","3,177","2,511","3,843","2,511 to 3,843","12.2","9.6","14.8","9.6 to 14.8","5,897","1,062","771","1,353","771 to 1,353","18.0","13.1","22.9","13.1 to 22.9","4,274","743","522","964","522 to 964","17.4","12.2","22.6","12.2 to 22.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,660","$49,070","$56,250","$49,070 to $56,250"
"2018","36","36051","Livingston County (NY)","57,494","7,173","5,892","8,454","5,892 to 8,454","12.5","10.3","14.7","10.3 to 14.7","10,944","1,538","1,144","1,932","1,144 to 1,932","14.1","10.5","17.7","10.5 to 17.7","8,210","1,014","723","1,305","723 to 1,305","12.4","8.9","15.9","8.9 to 15.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$61,027","$56,974","$65,080","$56,974 to $65,080"
"2018","36","36053","Madison County (NY)","66,159","7,121","5,597","8,645","5,597 to 8,645","10.8","8.5","13.1","8.5 to 13.1","13,213","1,892","1,392","2,392","1,392 to 2,392","14.3","10.5","18.1","10.5 to 18.1","9,875","1,308","925","1,691","925 to 1,691","13.2","9.3","17.1","9.3 to 17.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,114","$55,988","$62,240","$55,988 to $62,240"
"2018","36","36055","Monroe County (NY)","719,595","103,620","96,747","110,493","96,747 to 110,493","14.4","13.4","15.4","13.4 to 15.4","152,160","28,687","25,472","31,902","25,472 to 31,902","18.9","16.8","21.0","16.8 to 21.0","111,551","20,401","17,911","22,891","17,911 to 22,891","18.3","16.1","20.5","16.1 to 20.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,240","$58,654","$61,826","$58,654 to $61,826"
"2018","36","36057","Montgomery County (NY)","48,556","7,694","6,394","8,994","6,394 to 8,994","15.8","13.1","18.5","13.1 to 18.5","10,998","2,715","2,075","3,355","2,075 to 3,355","24.7","18.9","30.5","18.9 to 30.5","7,931","1,788","1,288","2,288","1,288 to 2,288","22.5","16.2","28.8","16.2 to 28.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,799","$39,814","$47,784","$39,814 to $47,784"
"2018","36","36059","Nassau County (NY)","1,337,946","77,883","67,732","88,034","67,732 to 88,034","5.8","5.0","6.6","5.0 to 6.6","287,145","21,787","17,636","25,938","17,636 to 25,938","7.6","6.2","9.0","6.2 to 9.0","213,975","15,216","11,978","18,454","11,978 to 18,454","7.1","5.6","8.6","5.6 to 8.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$115,301","$112,902","$117,700","$112,902 to $117,700"
"2018","36","36061","New York County (NY)","1,577,086","245,347","228,927","261,767","228,927 to 261,767","15.6","14.6","16.6","14.6 to 16.6","228,828","45,017","38,128","51,906","38,128 to 51,906","19.7","16.7","22.7","16.7 to 22.7","153,377","29,138","23,773","34,503","23,773 to 34,503","19.0","15.5","22.5","15.5 to 22.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$84,610","$81,457","$87,763","$81,457 to $87,763"
"2018","36","36063","Niagara County (NY)","206,532","26,833","23,410","30,256","23,410 to 30,256","13.0","11.3","14.7","11.3 to 14.7","41,392","7,659","6,197","9,121","6,197 to 9,121","18.5","15.0","22.0","15.0 to 22.0","30,350","5,386","4,301","6,471","4,301 to 6,471","17.7","14.1","21.3","14.1 to 21.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,013","$52,315","$57,711","$52,315 to $57,711"
"2018","36","36065","Oneida County (NY)","216,978","32,150","27,829","36,471","27,829 to 36,471","14.8","12.8","16.8","12.8 to 16.8","47,723","9,585","7,440","11,730","7,440 to 11,730","20.1","15.6","24.6","15.6 to 24.6","34,926","6,834","5,125","8,543","5,125 to 8,543","19.6","14.7","24.5","14.7 to 24.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,096","$52,040","$56,152","$52,040 to $56,152"
"2018","36","36067","Onondaga County (NY)","445,707","61,143","55,478","66,808","55,478 to 66,808","13.7","12.4","15.0","12.4 to 15.0","96,543","19,493","17,048","21,938","17,048 to 21,938","20.2","17.7","22.7","17.7 to 22.7","70,456","13,656","11,693","15,619","11,693 to 15,619","19.4","16.6","22.2","16.6 to 22.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,786","$57,644","$61,928","$57,644 to $61,928"
"2018","36","36069","Ontario County (NY)","106,851","9,077","7,404","10,750","7,404 to 10,750","8.5","6.9","10.1","6.9 to 10.1","21,801","2,425","1,824","3,026","1,824 to 3,026","11.1","8.3","13.9","8.3 to 13.9","16,308","1,676","1,196","2,156","1,196 to 2,156","10.3","7.4","13.2","7.4 to 13.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$62,930","$59,755","$66,105","$59,755 to $66,105"
"2018","36","36071","Orange County (NY)","371,763","42,664","37,156","48,172","37,156 to 48,172","11.5","10.0","13.0","10.0 to 13.0","96,089","16,816","13,955","19,677","13,955 to 19,677","17.5","14.5","20.5","14.5 to 20.5","70,866","11,595","9,327","13,863","9,327 to 13,863","16.4","13.2","19.6","13.2 to 19.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$75,048","$71,530","$78,566","$71,530 to $78,566"
"2018","36","36073","Orleans County (NY)","38,132","4,819","3,746","5,892","3,746 to 5,892","12.6","9.8","15.4","9.8 to 15.4","7,708","1,358","970","1,746","970 to 1,746","17.6","12.6","22.6","12.6 to 22.6","5,593","878","579","1,177","579 to 1,177","15.7","10.4","21.0","10.4 to 21.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,658","$49,699","$55,617","$49,699 to $55,617"
"2018","36","36075","Oswego County (NY)","112,870","18,209","16,035","20,383","16,035 to 20,383","16.1","14.2","18.0","14.2 to 18.0","24,272","5,572","4,603","6,541","4,603 to 6,541","23.0","19.0","27.0","19.0 to 27.0","17,790","3,755","2,991","4,519","2,991 to 4,519","21.1","16.8","25.4","16.8 to 25.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,745","$50,666","$56,824","$50,666 to $56,824"
"2018","36","36077","Otsego County (NY)","54,910","6,881","5,480","8,282","5,480 to 8,282","12.5","9.9","15.1","9.9 to 15.1","9,323","1,480","1,065","1,895","1,065 to 1,895","15.9","11.4","20.4","11.4 to 20.4","6,698","996","659","1,333","659 to 1,333","14.9","9.9","19.9","9.9 to 19.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,321","$51,796","$56,846","$51,796 to $56,846"
"2018","36","36079","Putnam County (NY)","97,236","5,863","4,771","6,955","4,771 to 6,955","6.0","4.9","7.1","4.9 to 7.1","19,387","1,283","1,009","1,557","1,009 to 1,557","6.6","5.2","8.0","5.2 to 8.0","14,916","893","678","1,108","678 to 1,108","6.0","4.6","7.4","4.6 to 7.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$100,887","$93,997","$107,777","$93,997 to $107,777"
"2018","36","36081","Queens County (NY)","2,253,164","261,819","240,997","282,641","240,997 to 282,641","11.6","10.7","12.5","10.7 to 12.5","450,439","68,473","58,202","78,744","58,202 to 78,744","15.2","12.9","17.5","12.9 to 17.5","311,560","45,647","38,109","53,185","38,109 to 53,185","14.7","12.3","17.1","12.3 to 17.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$68,432","$67,082","$69,782","$67,082 to $69,782"
"2018","36","36083","Rensselaer County (NY)","153,750","17,059","14,564","19,554","14,564 to 19,554","11.1","9.5","12.7","9.5 to 12.7","30,698","4,765","3,775","5,755","3,775 to 5,755","15.5","12.3","18.7","12.3 to 18.7","22,325","3,292","2,502","4,082","2,502 to 4,082","14.7","11.2","18.2","11.2 to 18.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$71,084","$69,369","$72,799","$69,369 to $72,799"
"2018","36","36085","Richmond County (NY)","470,807","55,217","47,132","63,302","47,132 to 63,302","11.7","10.0","13.4","10.0 to 13.4","103,016","15,706","12,315","19,097","12,315 to 19,097","15.2","11.9","18.5","11.9 to 18.5","75,785","10,619","8,150","13,088","8,150 to 13,088","14.0","10.7","17.3","10.7 to 17.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$79,719","$75,803","$83,635","$75,803 to $83,635"
"2018","36","36087","Rockland County (NY)","320,844","44,728","39,621","49,835","39,621 to 49,835","13.9","12.3","15.5","12.3 to 15.5","90,666","21,078","17,910","24,246","17,910 to 24,246","23.2","19.7","26.7","19.7 to 26.7","64,530","14,288","11,909","16,667","11,909 to 16,667","22.1","18.4","25.8","18.4 to 25.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$88,960","$85,406","$92,514","$85,406 to $92,514"
"2018","36","36089","St. Lawrence County (NY)","97,330","14,677","12,330","17,024","12,330 to 17,024","15.1","12.7","17.5","12.7 to 17.5","21,332","4,261","3,341","5,181","3,341 to 5,181","20.0","15.7","24.3","15.7 to 24.3","15,806","2,872","2,137","3,607","2,137 to 3,607","18.2","13.6","22.8","13.6 to 22.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,356","$46,646","$52,066","$46,646 to $52,066"
"2018","36","36091","Saratoga County (NY)","226,774","14,319","11,805","16,833","11,805 to 16,833","6.3","5.2","7.4","5.2 to 7.4","45,530","3,355","2,548","4,162","2,548 to 4,162","7.4","5.6","9.2","5.6 to 9.2","33,718","2,049","1,394","2,704","1,394 to 2,704","6.1","4.2","8.0","4.2 to 8.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$83,210","$79,497","$86,923","$79,497 to $86,923"
"2018","36","36093","Schenectady County (NY)","151,555","17,062","14,240","19,884","14,240 to 19,884","11.3","9.4","13.2","9.4 to 13.2","32,720","5,648","4,226","7,070","4,226 to 7,070","17.3","13.0","21.6","13.0 to 21.6","23,807","3,695","2,546","4,844","2,546 to 4,844","15.5","10.7","20.3","10.7 to 20.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$63,297","$59,381","$67,213","$59,381 to $67,213"
"2018","36","36095","Schoharie County (NY)","29,848","3,532","2,863","4,201","2,863 to 4,201","11.8","9.6","14.0","9.6 to 14.0","5,307","853","615","1,091","615 to 1,091","16.1","11.6","20.6","11.6 to 20.6","4,023","549","369","729","369 to 729","13.6","9.1","18.1","9.1 to 18.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,757","$53,683","$61,831","$53,683 to $61,831"
"2018","36","36097","Schuyler County (NY)","17,670","2,392","1,907","2,877","1,907 to 2,877","13.5","10.8","16.2","10.8 to 16.2","3,346","706","540","872","540 to 872","21.1","16.1","26.1","16.1 to 26.1","2,446","476","347","605","347 to 605","19.5","14.2","24.8","14.2 to 24.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,190","$45,863","$54,517","$45,863 to $54,517"
"2018","36","36099","Seneca County (NY)","31,642","4,000","3,212","4,788","3,212 to 4,788","12.6","10.1","15.1","10.1 to 15.1","6,568","1,304","954","1,654","954 to 1,654","19.9","14.6","25.2","14.6 to 25.2","4,785","889","614","1,164","614 to 1,164","18.6","12.9","24.3","12.9 to 24.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,184","$50,691","$57,677","$50,691 to $57,677"
"2018","36","36101","Steuben County (NY)","94,120","12,069","10,224","13,914","10,224 to 13,914","12.8","10.8","14.8","10.8 to 14.8","20,017","3,743","2,893","4,593","2,893 to 4,593","18.7","14.5","22.9","14.5 to 22.9","14,784","2,536","1,828","3,244","1,828 to 3,244","17.2","12.4","22.0","12.4 to 22.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,862","$52,231","$57,493","$52,231 to $57,493"
"2018","36","36103","Suffolk County (NY)","1,453,090","105,578","95,317","115,839","95,317 to 115,839","7.3","6.6","8.0","6.6 to 8.0","306,152","28,669","24,262","33,076","24,262 to 33,076","9.4","8.0","10.8","8.0 to 10.8","228,319","19,507","16,350","22,664","16,350 to 22,664","8.5","7.1","9.9","7.1 to 9.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$100,075","$98,571","$101,579","$98,571 to $101,579"
"2018","36","36105","Sullivan County (NY)","73,215","11,834","9,893","13,775","9,893 to 13,775","16.2","13.5","18.9","13.5 to 18.9","15,608","3,801","2,888","4,714","2,888 to 4,714","24.4","18.5","30.3","18.5 to 30.3","11,250","2,625","1,886","3,364","1,886 to 3,364","23.3","16.7","29.9","16.7 to 29.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,985","$47,707","$56,263","$47,707 to $56,263"
"2018","36","36107","Tioga County (NY)","48,034","4,912","3,899","5,925","3,899 to 5,925","10.2","8.1","12.3","8.1 to 12.3","10,011","1,521","1,103","1,939","1,103 to 1,939","15.2","11.0","19.4","11.0 to 19.4","7,518","1,038","714","1,362","714 to 1,362","13.8","9.5","18.1","9.5 to 18.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,309","$57,696","$62,922","$57,696 to $62,922"
